id,age,term,annual_contribution,growth_rate,takaful_benefit,year_one,year_two,year_three,year_four,year_five,year_six,year_seven,year_eight,year_nine,year_ten,year_eleven,year_twelve,year_thirteen,year_fourteen,year_fifteen,year_sixteen,year_seventeen,year_eighteen,year_nineteen,year_twenty,year_twenty_one,year_twenty_two,year_twenty_three,year_twenty_four,year_twenty_five,created_at
1,18,10,198400,0.09,992000,113859,260656,478423,711673,981736,1250650,1578820,1889720,2222450,2639120,,,,,,,,,,,,,,,,3/4/2025 0:34
2,18,15,144200,0.09,721000,82243.5,188350,345951,514710,710117,904571,1141970,1366670,1607070,1908310,2186640,2484430,2803040,3143910,3581980,,,,,,,,,,,3/4/2025 0:34
3,18,20,118500,0.09,592500,67252.6,154064,283137,421315,581323,740473,934830,1118650,1315280,1561780,1789330,2032730,2293080,2571560,2929720,3252600,3597960,3967360,4362460,4845330,,,,,,3/4/2025 0:34
4,18,25,103400,0.09,517000,58444.7,133920,246231,366442,505651,644058,813124,972929,1143840,1358180,1555890,1767330,1993460,2235280,2546480,2826760,3126490,3447010,3789760,4208880,4604540,5027620,5480030,5963770,6533630,3/4/2025 0:34
5,19,10,198400,0.09,992000,113859,260609,478347,711577,981629,1250530,1578700,1889590,2222310,2638970,,,,,,,,,,,,,,,,3/4/2025 0:34
6,19,15,144200,0.09,721000,82243.5,188316,345896,514639,710039,904488,1141880,1366570,1606970,1908200,2186520,2484300,2802900,3143770,3581820,,,,,,,,,,,3/4/2025 0:34
7,19,20,118500,0.09,592500,67252.6,154036,283092,421258,581259,740405,934757,1118570,1315190,1561690,1789230,2032620,2292970,2571440,2929590,3252460,3597820,3967200,4362290,4845150,,,,,,3/4/2025 0:34
8,19,25,103400,0.09,517000,58444.7,133895,246191,366391,505595,643998,813060,972860,1143760,1358100,1555800,1767240,1993360,2235170,2546370,2826640,3126360,3446880,3789620,4208720,4604370,5027440,5479830,5963560,6533410,3/4/2025 0:34
9,20,10,198400,0.09,992000,113830,260543,478251,711454,981496,1250390,1578550,1889420,2222140,2638780,,,,,,,,,,,,,,,,3/4/2025 0:34
10,20,15,144200,0.09,721000,82223,188268,345826,514550,709942,904384,1141770,1366450,1606840,1908060,2186370,2484150,2802730,3143590,3581630,,,,,,,,,,,3/4/2025 0:34
11,20,20,118500,0.09,592500,67235.8,153997,283034,421184,581179,740319,934665,1118470,1315090,1561580,1789110,2032500,2292830,2571290,2929430,3252290,3597630,3967010,4362080,4844920,,,,,,3/4/2025 0:34
12,20,25,103500,0.09,517500,58488.3,133994,246385,366690,506026,644561,813786,973738,1144800,1359350,1557240,1768890,1995220,2237270,2548770,2829310,3129330,3450150,3793220,4212740,4608780,5032260,5485100,5969300,6539710,3/4/2025 0:34
13,21,10,198500,0.09,992500,113868,260619,478399,711700,981868,1250890,1579210,1890230,2223100,2639950,,,,,,,,,,,,,,,,3/4/2025 0:34
14,21,15,144200,0.09,721000,82207.7,188225,345756,514464,709848,904283,1141660,1366330,1606720,1907930,2186230,2483990,2802570,3143410,3581440,,,,,,,,,,,3/4/2025 0:34
15,21,20,118500,0.09,592500,67223.1,153962,282976,421114,581101,740235,934576,1118380,1314990,1561470,1788990,2032370,2292700,2571150,2929280,3252130,3597460,3966820,4361880,4844710,,,,,,3/4/2025 0:34
16,21,25,103500,0.09,517500,58477.3,133964,246335,366629,505958,644488,813707,973655,1144710,1359250,1557140,1768780,1995100,2237140,2548630,2829170,3129170,3449980,3793050,4212550,4608570,5032040,5484860,5969050,6539440,3/4/2025 0:34
17,22,10,198500,0.09,992500,113847,260549,478299,711573,981729,1250740,1579050,1890060,2222920,2639750,,,,,,,,,,,,,,,,3/4/2025 0:34
18,22,15,144200,0.09,721000,82192.3,188175,345683,514372,709746,904175,1141550,1366210,1606590,1907790,2186080,2483830,2802390,3143230,3581240,,,,,,,,,,,3/4/2025 0:34
19,22,20,118500,0.09,592500,67210.5,153920,282916,421037,581018,740146,934480,1118270,1314880,1561350,1788870,2032230,2292550,2570990,2929110,3251950,3597270,3966610,4361660,4844470,,,,,,3/4/2025 0:34
20,22,25,103500,0.09,517500,58466.3,133927,246282,366562,505884,644409,813624,973565,1144620,1359150,1557030,1768660,1994980,2237010,2548490,2829010,3129000,3449800,3792850,4212350,4608350,5031810,5484610,5968780,6539150,3/4/2025 0:34
21,23,10,198500,0.09,992500,113818,260483,478195,711446,981590,1250590,1578890,1889890,2222740,2639560,,,,,,,,,,,,,,,,3/4/2025 0:34
22,23,15,144200,0.09,721000,82171.9,188127,345607,514280,709645,904066,1141430,1366090,1606450,1907640,2185930,2483660,2802220,3143040,3581040,,,,,,,,,,,3/4/2025 0:34
23,23,20,118500,0.09,592500,67193.7,153881,282854,420961,580934,740056,934384,1118170,1314770,1561230,1788740,2032100,2292410,2570840,2928940,3251770,3597070,3966410,4361440,4844240,,,,,,3/4/2025 0:34
